ru_word,en_word,transcription,example_en,example_ru
нравиться,like,[laɪk],Do you like this drawing?,Тебе нравится этот рисунок?
вероятность,likelihood,[ˈlaɪklɪhud],Likelihood of execution and settlements,Вероятность выполнения и заключения сделки
вероятный,likely,[ˈlaɪklɪ],This is likely to continue.,"Этот процесс, вероятно, продолжится."
конечность,limb,[lɪm],Could you regenerate a limb?,Можно ли регенерировать конечность?
ограничение,limit,[ˈlɪmɪt],Enter the maximum weight limit.,Введите максимальное ограничение веса.
ограничивать,limit,[ˈlɪmɪt],Limit her field of vision.,Ограничь её поле зрения.
ограничение,limitation,[ˌlɪmɪˈteɪʃən],So this is a limitation.,"Итак, это ограничение."
ограниченный,limited,[ˈlɪmɪtɪd],The teleport has limited range.,У телепорта ограниченный радиус.
линия,line,[laɪn],"Round, common, boring, soft line.","Круглый, неинтересный, скучный, мягкие линии."
выравнивать,line,[laɪn],Change line spacing and alignment.,изменять междустрочный интервал и выравнивание.
цепочка,line-up,,,
линейный,linear,[ˈlɪnɪə],And our intuition is linear.,Но наша интуиция линейна.
задерживаться,linger,[ˈlɪŋɡə],"Stars fading, but I linger on, dear","Звезды замирают, но я задержался, дорогая"
связь,link,[lɪŋk],Link to a text file,Создание связи с текстовым файлом
связывать,link,[lɪŋk],Link to SQL Server data,Связывание с данными SQL Server
лев,lion,[ˈlaɪən],It's The Lion King.,Это Король Лев.
губа,lip,[lɪp],"Oh, and my lip gloss.","О, и мой блеск для губ."
жидкий,liquid,[ˈlɪkwɪd],I rerouted the liquid nitro.,Я перенаправил жидкий азот.
жидкость,liquid,[ˈlɪkwɪd],"338 highly flammable liquid, corrosive","338 сильновоспламеняющаяся жидкость, коррозионная"
список,list,[lɪst],See Create an address list.,См. раздел Создание списка адресов.
перечислять,list,[lɪst],Please list your company's server addresses,"Перечислите, пожалуйста, адреса серверов вашей компании."
слушать,listen,[ˈlɪsn],"First of all, listen consciously.","Во-первых, слушайте осознанно."
слушатель,listener,[ˈlɪsnə],Step 3: Adding an Ad Listener,Шаг 3. Добавление функции слушателя
список,listing,,A table listing mail contacts appears.,Появится таблица со списком почтовых контактов.
грамотность,literacy,[ˈlɪtərəsɪ],It is a literacy for this generation.,Это грамотность для этого поколения.
литературный,literary,[ˈlɪtərərɪ],Spijkenisse has written literary history.,Спейкениссе написал свою литературную историю.
литература,literature,[ˈlɪtərɪtʃə],I find literature really louring.,Я нахожу литературу очень мрачной.
литр,litre,[ˈli:tə],"600 horsepower, 5.2 litre V10, four-wheel-drive.","600 лошадиных сил, 5,2 литра V10, полный привод."
мусор,litter,[ˈlɪtə],"Look, piss off and pick up some litter.",Пошли вон отсюда убирать мусор.
маленький,little,[ˈlɪtl],"We meet again, little owl.","Ну вот мы и встретились, маленькая сова."
прямой,live,[lɪv],Breaking news coming in live.,Экстренное сообщение в прямом эфире.
жить,live,[lɪv],“And how do wolves live?,— А как живут волки?
оживленный,lively,[ˈlaɪvlɪ],We had a lively conversation.,Мы вели очень оживлённые беседы.
печень,liver,[ˈlɪvə],"His metathesis, liver and lungs.","Метастазы в печени, в легких."
живущий,living,[ˈlɪvɪŋ],You're Arab Muslim living in Iraq.,"Вы араб-мусульманин, живущий в Ираке."
жизнь,living,[ˈlɪvɪŋ],"Living habits, eating habits, etc.","Их привычки в жизни, предпочтения в еде и т.п."
нагрузка,load,[ləud],An increase in RPC load,Повышение нагрузки RPC
загружать,load,[ləud],I had to load the dishwasher.,Мне пришлось загрузить посудомойку.
кредиты,loan,[ləun],Extensive loan losses have required expensive bank recapitalization operations.,Большие потери по кредитам и сделкам потребовали введения дорогостоящих банковских операций по рекапитализации.
лобби,lobby,[ˈlɔbɪ],"First, we take position in the lobby.",Сперва займем позицию в лобби.
лоббировать,lobby,[ˈlɔbɪ],"By contrast, even small businesses in the United States lobby Congress.","С другой стороны, даже малый бизнес в США лоббирует Конгресс."
местный,local,[ˈləukəl],Many complained about local politicians.,Многие жаловались на местных политиков.
локальный,local,[ˈləukəl],Receive connector local address bindings,Привязки локальных адресов для соединителей получения
располагаться,locate,[ləuˈkeɪt],"In My Computer or Windows Explorer, locate the target install path.",В окне «Мой компьютер» или в проводнике Windows перейдите в расположение установки.
расположенный,located,,Centrally located offices with stunning view,"Офисы, расположенные в центре города, с прекрасными видами из окон"
место,location,[ləuˈkeɪʃən],Cycle count work by location,Работа подсчета циклов по месту хранения
замок,lock,[lɔk],Here's the safety lock.,Вот предохранительный замок.
запирать,lock,[lɔk],"Let's lock her up.""",Давайте запрем её.
журнал,log,[lɔɡ],Database copies and log truncation,Копии базы данных и усечение журнала
входить,log,[lɔɡ],I Can't Log in,Я не могу войти на сайт
логика,logic,[ˈlɔdʒɪk],"So, I understand their logic.",Я понимаю их логику.
логический,logical,[ˈlɔdʒɪkəl],Returns the logical value TRUE,Возвращает логическое значение ИСТИНА.
логотип,logo,,1. Add a Marketer Logo,1. Добавление логотипа продавца
одинокий,lonely,[ˈləunlɪ],Being a Founder Is Lonely,Быть основателем бизнеса - значит быть одиноким
долгий,long,[lɔŋ],He plays the long game.,Он играет в долгую игру.
продолжительный,long-standing,,"This debate between ""realists"" and ""idealists"" is intense and long-standing.","Этот спор между ""реалистами"" и ""идеалистами"" очень напряжен и продолжителен."
долгосрочный,long-term,,Gazprom’s long-term strategy,Долгосрочная стратегия Газпрома
долгосрочный,long-time,,"These high-quality products are purchased on middle- and long-term contracts, mainly by long-time customers.","Эти высококачественные продукты закупаются на основании средне- и долгосрочных контрактов, главным образом, давними заказчиками."
вид,look,[luk],"The quietness, the proud look.","Тишина, гордый вид."
выглядеть,look,[luk],You look like a quarterback.,"Ты выглядишь, как качок."
маячить,loom,[lu:m],Other big legal and regulatory costs loom.,На горизонте маячат очередные судебные и прочие издержки по урегулированию проблемы.
петля,loop,,Orient your loop this way.,Расположите петлю вот так.
свободный,loose,[lu:s],"An unusual crowd, loose guest list.","Разношерстная толпа, свободный вход."
лорд,lord,,"I congratulate you, Lord Windermere.","Поздравляю вас, лорд Уиндермир."
грузовик,lorry,[ˈlɔrɪ],Is that the lorry driver?,"В том, что водителя грузовика?"
потерять,lose,[lu:z],Kyiv has little to lose.,Киев мало что может потерять.
потеря,loss,[lɔs],My condolences for your loss.,Соболезную вашей потере.
лотерея,lottery,[ˈlɔtərɪ],here's a little lottery.,вот небольшая лотерея.
громкий,loud,[laud],I almost clapped out loud.,Я едва громко не захлопала в ладоши.
любовь,love,[lʌv],You must marry for love.,Ты должен жениться по любви.
любить,love,[lʌv],"Never said ""I love you""","Никогда не говорил: ""Я люблю тебя"""
прекрасный,lovely,[ˈlʌvlɪ],A lovely lady like you?,Для прекрасной леди вроде вас?
низкий,low,[ləu],Inflation remains low in Europe.,Инфляция в Европе сохраняется на низком уровне.
минимум,low,[ləu],number_1 Key low price,number_1 Ключевой минимум
снижать,lower,['ləuə],Got to lower the light bar.,Надо снизить их мощность.
лояльный,loyal,[ˈlɔɪəl],Loyal as a basset hound.,"Лоялен, как бассет хаунд."
лояльность,loyalty,[ˈlɔɪəltɪ],Set up loyalty payment methods,Настройка способов оплаты по программе лояльности
удача,luck,[lʌk],Good luck with the Taliban.,Удачи вам с талибами!
удачливый,lucky,[ˈlʌkɪ],I am one lucky bastard.,Я - удачливый засранец.
обед,lunch,[lʌntʃ],It's our lunch hour.,У нас перерыв на обед.
легкое,lung,[lʌŋ],Unexplained lung collapse and anemia.,Необъяснимый коллапс легкого и малокровие.
роскошный,luxury,[ˈlʌkʃərɪ],"""Like in a luxury store""","""Как в роскошном магазине"""
роскошь,luxury,[ˈlʌkʃərɪ],"Admittedly, sometimes time is a luxury.","Общеизвестно, что иногда время бывает непозволительной роскошью."
машина,machine,[məˈʃi:n],This whole machine is mechanical.,Вся эта машина полностью механическая.
механизм,machinery,[məˈʃi:nərɪ],It could be a cheap lubricant leeching into the machinery.,"Возможно, дешевое машинное масло просочилась в механизм."
безумный,mad,[mæd],"Ricochet out, thanks Mad Dog.","Из Рикошет, благодаря Безумная Собака."
журнал,magazine,[ˌmægəˈziːn],Just reading some trashy magazine.,Встретилось в каком-то дурном журнале.
волшебный,magic,[ˈmædʒɪk],I lost your magic comb.,Я потеряла твою волшебную расческу.
магия,magic,[ˈmædʒɪk],Do you believe in magic?,Вы верите в магию?
волшебный,magical,[ˈmædʒɪkəl],It's a magical place.,Это волшебное место.
судья,magistrate,[ˈmædʒɪstreɪt],How dare you bully a magistrate?,Как вы смеете грубить судье?
магнитный,magnetic,[mæɡˈnetɪk],Very rapid magnetic flux variations.,Очень быстрые изменения магнитного потока.
великолепный,magnificent,[mæɡˈnɪfɪsnt],"Magnificent view, isn't it?","Великолепный вид, правда?"
величина,magnitude,[ˈmæɡnɪtju:d],But the magnitude of the economic costs should not be exaggerated:,Но не стоит преувеличивать величину экономических затрат:
почта,mail,[meɪl],Mail flow problems might occur.,Из-за этого могут возникнуть проблемы с передачей почты.
отправлять по почте,mail,[meɪl],You don't show up with the cash I'll do a mailing of Steven's greatest hits.,Если не принесёшь я отправлю по почте лучшую песню Стивена.
основной,main,[meɪn],It missed its main target.,Она не достигла основной цели.
материк,mainland,[ˈmeɪnlənd],"On the mainland, technological progress continued unimpeded.",На материке технический прогресс продолжался.
основной,mainstream,[ˈmeɪnstri:m],Mainstream megabanks are puzzling in many respects.,Основные мегабанки во многих отношениях озадачивают.
мейнстрим,mainstream,[ˈmeɪnstri:m],But they are far from the mainstream.,Но они далеки от мейнстрима.
поддерживать,maintain,[meɪnˈteɪn],Greenhouses could maintain plant life.,Оранжереи можно поддерживать жизнь растений.
обслуживание,maintenance,[ˈmeɪntənəns],Infrastructure operating and maintenance costs,Расходы на эксплуатацию и текущее обслуживание инфраструктуры
основной,major,[ˈmeɪdʒə],LEVERON’S 5 MAJOR VIRTUES,5 основных достоинств Leveron
большинство,majority,[məˈdʒɔrɪtɪ],Protestants were in the majority.,Протестанты были в большинстве.
сделать,make,[meɪk],Can you make meat loaf?,Можешь сделать мясной рулет?
макияж,make-up,,She's cleaning off the make-up.,Она убирает макияж.
создание,making,[ˈmeɪkɪŋ],"Graph API, Making Batch Requests",API Graph: создание пакетных запросов
мужской,male,,Feminism and the Male Brain,Феминизм и мужские мозги
мужчина,male,,"White male, 30s, brown hair.","Белый мужчина, 30 лет, брюнет."
торговый центр,mall,[mɔ:l],"Pick pocketing, down at the mall.",Карманная кража в торговом центре.
мужчина,man,[mən],"Very tall man, that one.",Очень высокий мужчина.
управлять,manage,[ˈmænɪdʒ],"Create, view, and manage checks.","Создание, просмотр и управление чеками."
управление,management,[ˈmænɪdʒmənt],Azure Rights Management connector connector,Соединитель Соединитель управления правами Azure
менеджер,manager,[ˈmænɪdʒə],I'm a financial manager.,Я финансовый менеджер.
мандат,mandate,['mændeɪt],The UN’s Mandate Gap,Пробел мандата ООН
обязательный,mandatory,[ˈmændətərɪ],letters and mandatory numbers (0).,букв и обязательных цифр (0).
проявлять,manifest,[ˈmænɪfest],"Forever trying to break in to our reality, manifest himself.","Вечно пытается прорваться в нашу реальность, проявить себя."
манипулировать,manipulate,[məˈnɪpjuleɪt],Manipulate data in hierarchical grids.,Манипулировать данными в иерархических сетках.
манипуляция,manipulation,[məˌnɪpjuˈleɪʃən],"Of course, outright manipulation occurs.","Конечно, откровенная манипуляция случается."
образ,manner,[ˈmænə],Hermes hang up on in the rudest possible manner.,"Гермес, брось трубку самым грубым образом."
изготовлять,manufacture,[ˌmænjuˈfæktʃə],"We, uh, manufacture wooden furniture.",Мы занимается изготовлением деревянной мебели.
производство,manufacturing,[ˌmænjuˈfæktʃərɪŋ],About registration for manufacturing execution,О регистрации для осуществления производства
рукопись,manuscript,[ˈmænjuskrɪpt],Is the manuscript loaded on this?,Текст рукописи записан на флэшку?
карта,map,[mæp],You wrote a treasure map.,Ты написал карту сокровищ.
картировать,map,[mæp],You can brain map to your heart's content.,Ты можешь сколько угодно картировать мозг.
марафон,marathon,[ˈmərəθən],American bronze medalist marathon bicyclist.,"Американский бронзовый медалист, участник марафона."
марш,March,[mɑ:tʃ],"My mom says, ""Protest march.""","Моя мама говорит: ""Марш протеста""."
марш,march,[mɑ:tʃ],"My mom says, ""Protest march.""","Моя мама говорит: ""Марш протеста""."
маршировать,march,[mɑ:tʃ],How about the march out?,А когда маршировал из офиса?
маржа,margin,[ˈmɑ:dʒɪn],Example of a Margin Call:,Пример Запроса на увеличение маржи:
маргинальный,marginal,[ˈmɑ:dʒɪnəl],Energy is produced from more marginal sources.,Энергия вырабатывается из более маргинальных источников.
морской,marine,[məˈri:n],He's a marine engineer.,Он морской инженер.
знак,mark,[mɑ:k],manufacturer's name or mark;,наименование или знак завода-изготовителя;
отмечать,mark,[mɑ:k],To mark an order shipped:,Чтобы отметить заказ как отгруженный:
маркер,marker,[ˈmɑ:kə],Hand me that green magic marker.,Передай мне тот волшебный зелёный маркер.
рынок,market,[ˈmɑ:kɪt],No difference means no market.,Отсутствие различий означает отсутствие рынка.
продавать,market,[ˈmɑ:kɪt],(v) to market our services or products;,"(V), чтобы продать ваши услуги или продукты;"
маркетинг,marketing,[ˈmɑ:kɪtɪŋ],Integration of Sales and marketing,Интеграция Продаж и маркетинга
рынок,marketplace,[ˈmɑ:kɪtpleɪs],Civilizing the Marketplace of Ideas,Придание цивилизованности рынку идей
брак,marriage,[ˈmærɪdʒ],Dissolution of marriage through divorce,Расторжение брака по причине развода
женатый,married,[ˈmærɪd],How long yall been married?,Сколько вы уже женаты?
жениться,marry,[ˈmærɪ],You must marry for love.,Ты должен жениться по любви.
военный,martial,[ˈmɑ:ʃəl],There is another reason to jettison the martial vocabulary.,Есть и ещё одна причина перестать пользоваться военной терминологией.
маска,mask,[mɑ:sk],Guy wore a stocking mask.,Парень был одет в маску из чулка.
массовый,mass,[mæs],Create mass hire positions (form),Создать должности массового набора сотрудников (форма)
масса,mass,[mæs],The first one is mass.,Первый связан с массой.
резня,massacre,[ˈmæsəkə],The Judicial Massacre of Srebrenica,“Узаконенная” резня в Сребренице
массивный,massive,[ˈmæsɪv],Massive bleeder just under the right.,Массивное кровотечение под правой.
мастер,master,[ˈmɑ:stə],Master in Kenpo and Aikido.,Мастера в коппо и айкидо.
осваивать,master,[ˈmɑ:stə],It is difficult for foreigners to master Japanese.,Трудно для иностранцев освоить японский.
матч,match,[mætʃ],"Way to go, Cupid Match.","Путь пойти, Матч Купидона."
соответствовать,match,[mætʃ],Match a non-whitespace character.,"Соответствует символу, отличному от пробела."
соответствующий,matching,,Invoice totals matching details (form),Итоги счета соответствующих сведений (форма)
приятель,mate,[meɪt],"No, mate, just me civvies.","Нет, приятель, я в штатском."
спариваться,mate,[meɪt],How on earth do you get chimps to mate?,каким образом заставить шимпанзе спариваться?
материальный,material,[məˈtɪərɪəl],23. Conflicts of interest and material interests,23. Конфликты интересов и материальная заинтересованность
материал,material,[məˈtɪərɪəl],UPLOADING MATERIAL TO OUR SITE,Загрузка материалов на наш сайт
математический,mathematical,[ˌmæθɪˈmætɪkəl],Mathematical formula for entity count,Математическая формула для счетчика объектов
математика,mathematics,[ˌmæθɪˈmætɪks],They require very similar mathematics.,Для их описания используется очень похожая математика.
математика,maths,[mæθs],Tom doesn't like maths.,Том не любит математику.
вопрос,matter,[ˈmætə],This is no small matter:,Это очень важный вопрос:
иметь значение,matter,[ˈmætə],"Does the size really matter?""",Разве размер имеет значение?»
зрелый,mature,[məˈtjuə],PUTIN: But also a mature person.,— Но зрелым.
развиваться,mature,[məˈtjuə],"As industries mature, the case for policy support weakens.","По мере развития и ""созревания"" нового сектора экономики снижается необходимость его стратегической поддержки."
максимизировать,maximize,[ˈmæksɪmaɪz],"We should maximize the chances to catch the Grave Digger, not minimize them.","Мы должны максимизировать возможности поймать Могильщика, не минимизировать их."
максимальный,maximum,[ˈmæksɪməm],Maximum number of characters: 256,Максимальное количество символов: 256
максимум,maximum,[ˈmæksɪməm],"At the maximum, regime change.",Как максимум — смена режима.
май,May,,Recapitulation of May 2004 estimate,"Резюме оценки, представленной в мае 2004 года"
мочь,may,[meɪ],You may open the window.,Можете открыть окно.
мэр,mayor,[mɛə],You are the damned mayor.,Ты чертов мэр.
питание,meal,[mi:l],Define meal percentage reductions for employees.,Укажите процент снижения расходов на питание для сотрудников.
означать,mean,[mi:n],Now what could this mean?,Что это может означать?
смысл,meaning,[ˈmi:nɪŋ],He was looking for meaning.,Он искал смысл.
значимый,meaningful,[ˈmi:nɪŋful],We're not asking meaningful metrics.,Мы не спрашиваем о значимых показателях.
средства,means,,The end justifies the means.,Цель оправдывает средства.
мера,measure,[ˈmeʒə],Measure 3.7 Deferred payment,Мера 3.7 Отсрочка платежа
измерять,measure,[ˈmeʒə],Measure using the Ads Manager,Измерение с помощью Ads Manager
измерение,measurement,[ˈmeʒəmənt],Heat conductivity measurement system upgrade;,модернизация систем измерения теплопроводности;
мясо,meat,[mi:t],The lion is eating meat.,Лев ест мясо.
механик,mechanic,[mɪˈkænɪk],Could you send a mechanic?,Вы не могли бы позвать механика?
механический,mechanical,[mɪˈkænɪkəl],This whole machine is mechanical.,Вся эта машина полностью механическая.
механизм,mechanism,[ˈmekənɪzm],That mechanism is broken beyond repair.,Данный механизм окончательно испорчен.
медаль,medal,[ˈmedl],We won the bronze medal.,Мы выиграли бронзовую медаль.
СМИ,media,[ˈmedɪə],RT and the American Media,RT и американские СМИ
медицинский,medical,[ˈmedɪkəl],The Medical Centre requests instructions.,Медицинский центр просит инструкции.
лекарства,medication,[ˌmedɪˈkeɪʃən],You stopped taking your medication.,Ты перестала принимать свои лекарства.
медицина,medicine,[ˈmedsɪn],"Politics, sociology, history, or medicine:","Политика, социология, история или медицина:"
средневековый,medieval,[ˌmedɪˈi:vəl],Welcome to medieval fight club.,Добро пожаловать в средневековый бойцовский клуб.
медитация,meditation,,Some shut down the self using meditation.,Некоторые выходят за пределы себя при помощи медитации.
средний,medium,[ˈmi:djəm],"Medium pressure hoses (Class 1),",шланги среднего давления (класс 1);
среда,medium,[ˈmi:djəm],“Table A10.1: Recommended chemical composition of testing medium,""" Таблица A10.1: Рекомендуемый химический состав испытательной среды"
встречаться,meet,[mi:t],"We meet again, little owl.","Ну вот мы и встретились, маленькая сова."
совещание,meeting,[ˈmi:tɪŋ],Come early to the meeting.,Приезжайте скорее на совещание.
мелодия,melody,[ˈmelədɪ],"This is the sonata, cantata and melody.","Вот это соната, кантата и мелодия."
таять,melt,[melt],It will melt in your mouth.,Он будет просто таять во рту.
член,member,[ˈmembə],That's a male member.,Мужской половой член.
членство,membership,[ˈmembəʃɪp],Manage database availability group membership,Управление членством в группе обеспечения доступности баз данных
записка,memo,[ˈmi:məu],Memo: Our Winning Strategy in Europe,Докладная записка: Наша победная стратегия в Европе
мемуары,memoir,[ˈmemwɑ:],"They ridiculed me in the eXile and, later, in their memoir.","Они долго высмеивали меня в eXile, а затем и в своих мемуарах."
запоминающийся,memorable,[ˈmemərəbl],That'll make for a memorable time.,Это станет запоминающимся временем.
мемориал,memorial,[mɪˈmɔ:rɪəl],"So, not the Lincoln Memorial.","Вообщем, это не Мемориал Линкольна."
память,memory,[ˈmemərɪ],"Seven times, if memory serves.","Семь раз, если мне не изменяет память."
психический,mental,,It lists every known mental disorder.,В ней перечислены все известные психические заболевания.
упоминание,mention,[ˈmenʃən],@mention result in a Yammer post,@упоминание в сообщении Yammer
упоминать,mention,[ˈmenʃən],Learn how to mention someone.,"Узнайте о том, как упомянуть человека."
наставник,mentor,[ˈmentɔ:],"Khrushchev denounced his mentor, Stalin.",Хрущев разоблачил своего наставника - Сталина.
меню,menu,[ˈmenju:],"Filter menu, Clear filter from ...","Меню ""Фильтр"", команда ""Удалить фильтр с"""
торговец,merchant,[ˈmə:tʃənt],Mr Brown is a wool merchant.,Мистер Браун торговец шерстью.
милосердие,mercy,[ˈmə:sɪ],Perhaps the Sisters of Mercy.,"Возможно, к сёстрам милосердия."
простой,mere,[mɪə],This is no mere coincidence.,Это не просто совпадение.
объединять,merge,[mə:dʒ],Click Home > Merge and Center.,Щелкните Главная > Объединить и выровнять по центру.
слияние,merger,,Merger in the soft drink industry,Слияние в секторе производства безалкогольных напитков
существо,merit,[ˈmerɪt],"Before deciding the merit of the case, the court examined some preliminary issues regarding the applicable law.","Прежде чем принять решение по существу дела, суд рассмотрел ряд предварительных вопросов, связанных с применимым законодательством."
беспорядок,mess,[mes],"In short, the mess continues.","Коротко говоря, беспорядок продолжается."
сообщение,message,[ˈmesɪdʒ],Subscribes to Message Received events,Выполняет подписку на события получения сообщения
металл,metal,[ˈmetl],""" 3401 ALKALI METAL AMALGAM, SOLID",""" 3401 АМАЛЬГАМА ЩЕЛОЧНЫХ МЕТАЛЛОВ, ТВЕРДАЯ"
метафора,metaphor,[ˈmetəfə],Decline is a misleading metaphor.,"Упадок - это метафора, вводящая в заблуждение."
метод,method,[ˈmeθəd],(SysQueryRanget Util method between parenthesis),(метод SysQueryRanget Util в скобках)
методология,methodology,[ˌmeθəˈdɔlədʒɪ],More about our test methodology,О методологии тестов
метр,metre,[ˈmi:tə],A metre is 100 centimetres.,Метр - это 100 сантиметров.
средний,middle,[ˈmɪdl],No middle way was possible.,Никакой средний путь невозможен.
середина,middle,[ˈmɪdl],The Fight for Middle Germany,Борьба за середину Германии
полночь,midnight,[ˈmɪdnaɪt],We reached London at midnight.,Мы добрались до Лондона в полночь.
середина,midst,[mɪdst],"With the national dialogue now underway, we are in the midst of phase three.","Национальный диалог продолжается, и мы сейчас находимся в середине третьей стадии."
мочь,might,[meɪ],You may open the window.,Можете открыть окно.
миграция,migration,[maɪˈɡreɪʃən],Optional: Exchange Online IMAP4 migration,Необязательно: миграция IMAP4 для Exchange Online
мягкий,mild,[maɪld],Japan has a mild climate.,В Японии мягкий климат.
миля,mile,[maɪl],This is the last mile.,Это последняя миля.
воинствующий,militant,[ˈmɪlɪtənt],Richard Dawkins on militant atheism,Ричард Докинз о воинствующем атеизме
боец,militant,[ˈmɪlɪtənt],"Right Sector militants fight for their own doctrine, one of ultranationalism and conservative values.","Бойцы «Правого сектора» воюют в соответствии с собственной доктриной, основанной на ультранационализме и консервативных ценностях."
военный,military,[ˈmɪlɪtərɪ],It was Soviet Military Power.,Журнал назывался «Советская военная мощь» (Soviet Military Power).
военный,military,[ˈmɪlɪtərɪ],It was Soviet Military Power.,Журнал назывался «Советская военная мощь» (Soviet Military Power).
ополченцы,militia,[mɪˈlɪʃə],"Militia types, arming for a second American Civil War?","А может, это ополченцы, вооружающиеся, чтобы развязать вторую гражданскую войну в Америке?"
молоко,milk,[mɪlk],Their milk has kevlar webs.,Их молоко содержит кевларовую паутину.
завод,mill,[mɪl],I I ran a flour mill.,Есть мукомольный завод.
ум,mind,[maɪnd],Have you lost your mind?,Ты сошла с ума?
возражать,mind,[maɪnd],The langurs don't mind.,Лангуры не возражают.
мина,mine,[maɪn],I just tripped a mine.,Я только что активировал мину.
шахтер,miner,[ˈmaɪnə],Be sure to tip the gold miner on your way out.,Не забудьте дать чаевые шахтёру на выходу.
ископаемое,mineral,[ˈmɪnərəl],The world can never run out of any mineral resources.,В мире никогда не смогут закончиться какие-либо полезные ископаемые.
минимальный,minimal,[ˈmɪnɪml],This option provides minimal protection.,В этом случае обеспечивается минимальная защита.
сводить к минимуму,minimize,[ˈmɪnɪmaɪz],We want to minimize the distance.,Мы хотим свести к минимуму дистанцию.
минимальный,minimum,[ˈmɪnɪməm],Minimum Deposit of $1000-$4999,Минимальный депозит $1000-$4999
минимум,minimum,[ˈmɪnɪməm],Opening a minimum of one trade,Открыта минимум одна сделка
добыча,mining,[ˈmaɪnɪŋ],It's not even mining.,даже не добыча ископаемых.
министр,minister,[ˈmɪnɪstə],"First Minister, you draw first.","Тяни, Первый Министр, ты первый."
министерство,ministry,[ˈmɪnɪstrɪ],Ministry of Education 2007: 7.,"Министерство просвещения, 2007: 7."
несовершеннолетний,minor,[ˈmaɪnə],He's delirious and he's a minor.,Он бредит и он несовершеннолетний.
меньшинство,minority,[maɪˈnɔrɪtɪ],Reconciling Minority Rights and State Sovereignty,Примирение прав меньшинств и государственного суверенитета
точный,minute,['mɪnɪt],,
минута,minute,['mɪnɪt],It took about one minute.,Заняло около минуты.
чудо,miracle,[ˈmɪrəkl],The East Asian Miracle Revisited,Переосмысление восточноазиатского чуда
зеркало,mirror,[ˈmɪrə],The EU’s Viennese Mirror,Венское Зеркало ЕС
жалкий,miserable,[ˈmɪzərəbl],She wasn't miserable at all.,Но она вовсе не была жалкой.
страдание,misery,[ˈmɪzərɪ],His cup of misery was full.,Его чаша страданий была полна.
вводящий в заблуждение,misleading,[mɪsˈli:dɪŋ],Decline is a misleading metaphor.,"Упадок - это метафора, вводящая в заблуждение."
пропускать,miss,[mɪs],I never ever miss two.,Я никогда не пропускал две.
ракета,missile,[ˈmɪsaɪl],On the missile loading ramp.,На погрузочном скате ракеты.
пропавший,missing,[ˈmɪsɪŋ],That's the missing snowmobile!,Это пропавший снегоход!
миссия,mission,[ˈmɪʃən],Europe’s Middle East Mission,Миссия Европы на Ближнем Востоке
ошибка,mistake,[mɪsˈteɪk],Here another common mistake beckons:,Здесь напрашивается еще одна ошибка:
путать,mistake,[mɪsˈteɪk],Don't mistake rashness for loyalty.,Не путай поспешность с преданностью.
смесь,mix,[mɪks],Borax is definitely part of the mix.,"Определённо, Боракс - часть смеси."
смешивать,mix,[mɪks],Mix aluminum powder with iron oxide.,Я смешиваю алюминиевый порошок с окисью железа.
смешанный,mixed,[mɪkst],A mixed market in oil,Смешанные движение на рынке нефти.
смесь,mixture,[ˈmɪkstʃə],Crush this mixture into powder.,Сотри эту смесь в пудру.
толпа,mob,[mɔb],Supermen can lead the mob.,Сверхчеловек может вести толпу.
мобильный,mobile,[ˈməubaɪl],Facebook Mobile and Desktop Apps,Приложения Facebook для мобильных устройств и ПК
мобила,mobile,[ˈməubaɪl],"Besides, Mobile is growing on me.","Кроме того, Мобил вырос в моих глазах."
мобильность,mobility,[məuˈbɪlɪtɪ],Labor mobility has been declining.,Мобильность рабочей силы сокращается.
мобилизовать,mobilize,[ˈməubɪlaɪz],Ruthless leaders mobilize disoriented followers.,Беспощадные лидеры мобилизуют дезориентированных последователей.
режим,mode,[məud],Xbox (green)/Bluetooth mode (blue),Режим Xbox (зеленый)/Bluetooth (голубой)
модель,model,[ˈmɔdl],Click the Inventory model tab.,Откройте вкладку Складская модель.
моделировать,model,[ˈmɔdl],Steve Jurvetson on model rocketry,Cтив Джурветсон о ракетном моделировании
умеренный,moderate,['mɔd(ə)rət],Dissension has been relatively moderate.,Разногласия оказались сравнительно умеренными.
современный,modern,[ˈmɔdən],"Berlin, Birthplace of Modern Asia","Берлин, место рождения современной Азии"
скромный,modest,[ˈmɔdɪst],Those expectations were not modest.,Эти ожидания не были скромными.
изменение,modification,[ˌmɔdɪfɪˈkeɪʃən],Proposed data modification requests (DMRs),Предлагаемые запросы на изменение данных (ЗИД)
изменять,modify,[ˈmɔdɪfaɪ],"Then, select Fields > Modify Expression.",Затем на вкладке Поля нажмите кнопку Изменить выражение.
момент,moment,[ˈməumənt],It was an exciting moment.,Это был волнующий момент.
импульс,momentum,[məuˈmentəm],Now we've got momentum.,Теперь накопился импульс.
в понедельник,Monday,,Go to picket on Monday?,Идёте на пикет в понедельник?
деньги,money,[ˈmʌnɪ],Spend money and enjoy life!,Трать деньги и наслаждайся жизнью.
монитор,monitor,[ˈmɔnɪtə],"Telephone ringing, monitor beeping rapidly","Телефон звонит, монитор быстро сигналит"
отслеживать,monitor,[ˈmɔnɪtə],Monitor the health of system resources,Отслеживание работоспособности системных ресурсов.
монах,monk,[mʌŋk],A 21-year-old monk.,21-летний монах.
